tweet_id,favorite_count,retweet_count
892420643555336193,34559,7199
892177421306343426,29964,5407
891815181378084864,22540,3572
891689557279858688,37788,7416
891327558926688256,36089,7963
891087950875897856,18197,2674
890971913173991426,10601,1719
890729181411237888,58148,16205
890609185150312448,25074,3718
890240255349198849,28582,6260
890006608113172480,27614,6309
889880896479866881,25106,4282
889665388333682689,43013,8574
889638837579907072,24186,3830
889531135344209921,13621,1928
889278841981685760,22619,4569
888917238123831296,26181,3843
888804989199671297,22945,3635
888554962724278272,17709,2959
888078434458587136,19560,2977
887705289381826560,27216,4649
887517139158093824,41640,10091
887473957103951883,61574,15420
887343217045368832,30216,9039
887101392804085760,27561,5112
886983233522544640,31095,6528
886736880519319552,10729,2719
886680336477933568,20188,3838
886366144734445568,18969,2706
886267009285017600,104,3
886258384151887873,25111,5419
886054160059072513,0,96
885984800019947520,29243,5762
885528943205470208,32304,5487
885518971528720385,18399,3195
885311592912609280,0,15853
885167619883638784,19654,3756
884925521741709313,68842,15452
884876753390489601,24953,4789
884562892145688576,21801,4022
884441805382717440,24396,4903
884247878851493888,64827,17394
884162670584377345,18337,2555
883838122936631299,19610,2938
883482846933004288,41126,8494
883360690899218434,20388,3162
883117836046086144,33283,5678
882992080364220416,21443,3319
882762694511734784,25342,4204
882627270321602560,25159,5205
882268110199369728,40135,9934
882045870035918850,26341,4183
881906580714921986,21910,2921
881666595344535552,45549,9195
881633300179243008,113,8
881536004380872706,44442,13758
881268444196462592,20941,4587
880935762899988482,15380,2399
880872448815771648,19143,3282
880465832366813184,25548,5340
880221127280381952,24214,3574
880095782870896641,24847,3743
879862464715927552,20157,2997
879674319642796034,283,9
879492040517615616,21160,2713
879415818425184262,94956,38409
879376492567855104,15159,2700
879130579576475649,0,5884
879050749262655488,20262,4053
879008229531029506,17135,2307
878776093423087618,17485,3528
878604707211726852,27007,6075
878404777348136964,0,1098
878316110768087041,0,5689
878281511006478336,6948,1098
878057613040115712,37926,5884
877736472329191424,70922,16255
877611172832227328,0,70
877556246731214848,20413,3259
877316821321428993,24703,4472
877201837425926144,24370,4771
876838120628539392,18631,2871
876537666061221889,21465,4079
876484053909872640,16936,2050
876120275196170240,25223,4016
875747767867523072,22661,3679
875144289856114688,19806,4237
875097192612077568,24782,5261
875021211251597312,23050,4082
874680097055178752,25115,4019
874434818259525634,0,12554
874296783580663808,23529,3580
874057562936811520,20576,3466
874012996292530176,30797,8805
873580283840344065,21906,3416
873337748698140672,0,1360
873213775632977920,6461,1360
872967104147763200,24597,4673
872820683541237760,13345,3238
872620804844003328,18765,3147
872486979161796608,36898,7914
872122724285648897,30939,7035
871879754684805121,33854,9484
871762521631449091,18293,3040
871515927908634625,18281,3020
871166179821445120,0,5006
871102520638267392,18960,4815
871032628920680449,20607,3309
870804317367881728,30484,5402
870726314365509632,109,3
870656317836468226,11132,2266
870374049280663552,75633,23352
870308999962521604,19907,3636
870063196459192321,33125,7254
869772420881756160,38746,8907
869702957897576449,25595,5510
869596645499047938,14516,2704
869227993411051520,18540,3289
868880397819494401,59263,12604
868639477480148993,0,1798
868622495443632128,24170,4609
868552278524837888,9183,1798
867900495410671616,22048,3669
867774946302451713,30883,6418
867421006826221569,14642,2180
867072653475098625,0,106
867051520902168576,29332,6948
866720684873056260,18230,4226
866686824827068416,17517,3037
866450705531457537,111300,31090
866334964761202691,47674,12554
866094527597207552,0,7362
865718153858494464,23472,4982
865359393868664832,24117,4408
865006731092295680,25607,6825
864873206498414592,29440,7678
864279568663928832,13347,2647
864197398364647424,27280,7785
863907417377173506,18866,3680
863553081350529029,13961,3727
863471782782697472,0,2138
863432100342583297,21816,4673
863427515083354112,2004,82
863079547188785154,8050,987
863062471531167744,7698,2138
862831371563274240,17570,4574
862722525377298433,15668,3169
862457590147678208,18682,4358
862096992088072192,67792,20537
861383897657036800,33049,9537
861288531465048066,15726,3684
861005113778896900,15350,3412
860981674716409858,0,1903
860924035999428608,0,696
860563773140209665,6879,1903
860524505164394496,21742,4731
860276583193509888,16971,3145
860184849394610176,15318,5232
860177593139703809,0,27553
859924526012018688,18052,3678
859851578198683649,14276,3158
859607811541651456,17199,1389
859196978902773760,82400,27000
859074603037188101,31114,12270
858860390427611136,0,7286
858843525470990336,14425,3109
858471635011153920,19944,4385
858107933456039936,14573,2598
